ДП-Арк-Євро5 В0;1428630.0;168438.0
Тосол-40;1134.0;0
А-80(ДЗ);59578.0;22397.0
А-95 Євро5 Е0;80540.0;3454.0
Протек Тосол А-40;1134.0;0
М10Г2к(вищий гатунок);3007.0;0
м6з/10в;360.0;31.5
SAE 5W40 CI-4/SL;220.0;42.3
ТАП-15В;819.1;0
VipOil Professional TDI 10W40 CI-4/SL;1755.0;90.0
PRISTA SHPD VDS-3 15W40 CI-4/SL;185.0;5.4
ДП-л-Євро5 В0;1455215.0;110366.0
м-40;9.9;0
ДП-з-Євро5 В0;1060.0;0
Протек SD 5W40;20.0;0
Протек SD 5W40 API CI-4/SL;5.0;0
G12++VOLVOLINE OEM Advanced 40;1599.0;0
MOBIL SUPER 3000 XI 5W40;740.0;0
TITAN EM 530BW (O-1178);370.0;0
Hydraunycoil FH 3 (H-544);185.0;0
Nucolube 436, SAE 15W40 O-236;560.0;4.5
AUS 32;109.0;0
5W40 (O-1179);530.0;0
SAE 80W-90(O-226);370.0;0
OCSEA 405/B VM LAM S (XH-45);344.0;0
МТ-16п;90.0;0
80W90 Gl-5;358.0;0
Cyclon motor oil CI-4/SL SAE 5W40;180.0;0
ATF III;1260.0;23.0
ЛІТОЛ-24;568.0;0
М-6з/10В (ДВАСЗп-10В);720.0;0
ДП ЄВРО;2178.0;0
SAE 15W-40 (O-1236);546.0;0
O-1180 (OX-90);172.0;0
H-547 AJ-331 (DOT-5);55.2;0
Fuchs AL39 (S-757)C;220.0;0
AdBlue;883.8;0
Cyclon D Super Plus MLH SAE 15W40;895.0;21.3
TRANS M2 75W90 GL-5;340.2;0
Cyclon Motor oil CI-4/SL, SAE 5W30;1455.6;0
ADDINOL SAE 15W40 (O-236);1260.0;0
МГЕ-46В;90.0;0
А-92 Євро5 Е0;34772.0;8095.0
ДЖЕТ А-1;11718.0;0
TURBONYCOIL-98;18.84;0
WOLF OUTBOARD 2T TC-W3;36.0;0
WEXOIL GRAND DIESEL 15W40 CI-4/SL;1080.0;0
DOT-4 Mullerol;98.15;0
YUKO TM-5 80W90 API GL-5;180.0;0
OLF ATF 300;360.0;0
WEXOIL GRAND DIESEL SAE 5W40 CI-4/SL;360.0;0
G12++FUCHS MAINTAIN FRICOFIN DF50;87.0;0
Азмол Гарант М-4042ВТ;280.0;0
CI-4/SL SAE 10W40 WEXOIL GRAND DIESEL 10W40);900.0;0
ДП-з-Євро5 В0(ДТ-Е-К5 сорт Е);138.0;0
Wexoil ATF III;180.0;0
ТСП-15к;180.0;0
Cyclon motor oil CH-4/SL 10w30;410.0;0
80w90 gl5 (olf carter 80w90);180.0;0
ТОСОЛ А-30М CLASSIK;613.0;0
М10Г2К;100.0;54.0
ОЖ-40;1957.0;0
НАТО S-750 CYCLONFLU HD;223.0;0
МГЕ-10А;90.0;0
ТСЗп-8;180.0;0
HYDRAUNYCOIL FH 51 (H-515);180.0;0
F-34 (ТС-1);11793.0;0
TURBONYCOIL 600 (O-156);181.0;0
ДП Арк Євро 4В0;1017.0;0
Дизельне пальне;1672.0;0
А-80;0;225.0
АУ;0;36.0
Arian Trans H 80W90 GL-5;0;25.2
